Date,Open,High,Low,Close,Volume
2020-03-05 00:00:00-05:00,186.78,188.99,183.8901,185.02,21975861
2020-03-06 00:00:00-05:00,178.33,183.78,176.26,181.11,21916170
2020-03-09 00:00:00-04:00,169.6,175,165.19,168.6,26418975
2020-03-10 00:00:00-04:00,174.67,178.29,169.5,178.19,42200790
2020-03-11 00:00:00-04:00,173.86,175.88,167.66,170.22,37010571
2020-03-12 00:00:00-04:00,159.54,166.6,154.34,154.46,39090919
2020-03-13 00:00:00-04:00,163.16,170.79,157.6,170.62,29428089
2020-03-16 00:00:00-04:00,152.32,159.13,143.1,145.96,72152076
2020-03-17 00:00:00-04:00,150.74,153.94,140,149.42,31562530
2020-03-18 00:00:00-04:00,139.75,148.18,137.1006,147.05,29533901
2020-03-19 00:00:00-04:00,146.62,159.9294,144.8,153.03,70865214
2020-03-20 00:00:00-04:00,156.02,159.27,148,149.73,30645720
2020-03-23 00:00:00-04:00,149.66,152.31,142.25,147.8,26881306
2020-03-24 00:00:00-04:00,155.205,161.31,152.57,161.22,25999531
2020-03-25 00:00:00-04:00,158.92,162.99,153.06,156.16,62557455
2020-03-26 00:00:00-04:00,158.35,164,157.0201,163.35,23443636
2020-03-27 00:00:00-04:00,158.32,160.09,154.75,156.77,42910937
2020-03-30 00:00:00-04:00,159.18,166.75,158.06,165.85,20555939
2020-03-31 00:00:00-04:00,165.48,170.93,164.2,166.79,42024824
2020-04-01 00:00:00-04:00,161.615,164.15,158.035,159.6,17568762
2020-04-02 00:00:00-04:00,159.1,161.3509,155.92,158.2,36188716
2020-04-03 00:00:00-04:00,157.15,157.91,150.83,154.19,32151306
2020-04-06 00:00:00-04:00,160.15,166.2,158.51,165.55,23379664
2020-04-07 00:00:00-04:00,171.5,173.39,166.01,168.83,28489714
2020-04-08 00:00:00-04:00,172.26,175,167.74,174.28,37643598
2020-04-09 00:00:00-04:00,175.9,177.08,171.57,175.2,21496914
2020-04-13 00:00:00-04:00,173.67,175,169.45,174.79,17528292
2020-04-14 00:00:00-04:00,178.9765,181.225,176.62,178.14,38605489
2020-04-15 00:00:00-04:00,175.1865,178.19,172.82,176.91,47845841
2020-04-16 00:00:00-04:00,177.95,178.05,172.51,176.28,57355702
2020-04-17 00:00:00-04:00,179.2,180.28,176.66,179.25,53613756
2020-04-20 00:00:00-04:00,177.41,180.5,176.77,178.26,40954257
2020-04-21 00:00:00-04:00,175.25,175.38,168.3408,170.67,63386103
2020-04-22 00:00:00-04:00,178.45,184.78,178.14,182.96,57043931
2020-04-23 00:00:00-04:00,184.08,187.05,183.15,185.15,56756444
2020-04-24 00:00:00-04:00,183.23,190.41,180.825,190.1,77970850
2020-04-27 00:00:00-04:00,192.657,193.75,187.41,187.54,106374064
2020-04-28 00:00:00-04:00,188.66,189.2,182.56,182.86,35867080
2020-04-29 00:00:00-04:00,190.93,196.91,190,193.99,69449829
2020-04-30 00:00:00-04:00,206.92,209.69,201.5701,204.71,82242605
2020-05-01 00:00:00-04:00,201.6,207.28,199.0501,202.28,27688202
2020-05-04 00:00:00-04:00,200.2,205.91,198.7562,205.24,17168353
2020-05-05 00:00:00-04:00,207.02,210.38,206.5,207.08,39463915
2020-05-06 00:00:00-04:00,208.12,211.6,206.66,208.46,18415468
2020-05-07 00:00:00-04:00,211.16,211.6,209.04,211.3,24770066
2020-05-08 00:00:00-04:00,212.24,213.21,210.85,212.35,21628908
2020-05-11 00:00:00-04:00,210.8865,215,210.37,213.18,22461562
2020-05-12 00:00:00-04:00,213.29,215.275,210,210.02,26747124
2020-05-13 00:00:00-04:00,209.43,210.78,202.11,205.14,19071099
2020-05-14 00:00:00-04:00,202.56,206.93,200.69,206.85,14134233
2020-05-15 00:00:00-04:00,205.27,211.34,204.12,211.04,34047199
2020-05-18 00:00:00-04:00,212.15,214.6445,210.94,213.21,35909126
2020-05-19 00:00:00-04:00,213.27,220.49,212.83,216.88,30332973
2020-05-20 00:00:00-04:00,223.5,231.34,223.19,229.95,46541604
2020-05-21 00:00:00-04:00,234.72,237.2,231.2,231.37,87138160
2020-05-22 00:00:00-04:00,231.51,235.99,228.74,234.92,63611004
2020-05-26 00:00:00-04:00,239.77,240.9,231.67,232.16,30555905
2020-05-27 00:00:00-04:00,229.07,230.56,221.1347,229.15,64595801
2020-05-28 00:00:00-04:00,224.3,231.6332,224,225.33,27478541
2020-05-29 00:00:00-04:00,225.2,227.49,222.88,224.21,18706304
2020-06-01 00:00:00-04:00,224.59,232.44,223.5,231.94,33886754
2020-06-02 00:00:00-04:00,230.94,233,226.56,232.83,36197240
2020-06-03 00:00:00-04:00,232.11,232.65,228.53,230.06,28224941
2020-06-04 00:00:00-04:00,229.56,231.63,224.61,226.29,15405418
2020-06-05 00:00:00-04:00,226.71,231.35,225.3105,230.78,14358315
2020-06-08 00:00:00-04:00,229.03,231.55,227.41,231.42,27642194
2020-06-09 00:00:00-04:00,231.52,239.77,230.41,238.69,50558498
2020-06-10 00:00:00-04:00,240.96,241.21,235.28,236.68,18383287
2020-06-11 00:00:00-04:00,229.94,232.89,223.55,224.45,47636272
2020-06-12 00:00:00-04:00,229.9,231.66,227.3102,227.3401,6834224
2020-06-15 00:00:00-04:00,225.09,233.77,224.8,232.47,27221583
2020-06-16 00:00:00-04:00,237.14,238.46,233,235.81,26637700
2020-06-17 00:00:00-04:00,235,237.59,231.7268,235.53,36276677
2020-06-18 00:00:00-04:00,234.99,236.14,232.15,235.975,28476274
2020-06-19 00:00:00-04:00,237.79,240.83,235.55,238.65,22967089
2020-06-22 00:00:00-04:00,238.56,240.7,236.91,239.3,17414294
2020-06-23 00:00:00-04:00,241.28,245.1853,239.86,242.14,22512681
2020-06-24 00:00:00-04:00,241.2,243.22,232.68,234.08,19170135
2020-06-25 00:00:00-04:00,234.62,237.3,232.74,235.47,17150061
2020-06-26 00:00:00-04:00,232.64,233.09,215.4,215.86,69956879
2020-06-29 00:00:00-04:00,209.75,220.75,207.11,220.71,55040667
2020-06-30 00:00:00-04:00,220.59,227.5,218.47,227.05,30334236
2020-07-01 00:00:00-04:00,228.5,239,227.56,237.53,41842647
2020-07-02 00:00:00-04:00,239,240,232.61,233.46,28035447
2020-07-06 00:00:00-04:00,233.76,240.4,232.27,240.3,23995427
2020-07-07 00:00:00-04:00,239.41,247.65,238.82,240.86,25959274
2020-07-08 00:00:00-04:00,238.11,246.99,236.59,243.57,28709954
2020-07-09 00:00:00-04:00,245,246.525,239.24,244.46,21030418
2020-07-10 00:00:00-04:00,243.685,245.49,239.32,245.06,21257783
2020-07-13 00:00:00-04:00,247.005,250.15,238.42,239.02,22980602
2020-07-14 00:00:00-04:00,236.76,240.33,232.03,239.73,21476590
2020-07-15 00:00:00-04:00,241.55,244.82,238.05,240.29,17193831
2020-07-16 00:00:00-04:00,238,241.76,236.3306,240.95,16768990
2020-07-17 00:00:00-04:00,241,244.16,237.86,241.98,16202447
2020-07-20 00:00:00-04:00,240.06,246.05,235.635,245.42,19560210
2020-07-21 00:00:00-04:00,246.22,246.91,240.08,241.76,16203897
2020-07-22 00:00:00-04:00,240.26,241.9,238.12,239.8027,14188775
2020-07-23 00:00:00-04:00,239.63,242.42,231.75,232.61,19341770
2020-07-24 00:00:00-04:00,228.11,233.49,227.155,230.82,14642174
2020-07-27 00:00:00-04:00,231.46,234.95,230.83,233.5,11384975
2020-07-28 00:00:00-04:00,234.63,234.96,229.83,230.1,13209581
2020-07-29 00:00:00-04:00,231.14,233.7,230.31,233.27,12494364
2020-07-30 00:00:00-04:00,230.22,234.893,229,234.6,14231024
2020-07-31 00:00:00-04:00,255.82,255.85,249,253.71,48402250
2020-08-03 00:00:00-04:00,252.65,255.4,250.33,251.84,21498775
2020-08-04 00:00:00-04:00,251.56,252.8,247.43,249.83,15733319
2020-08-05 00:00:00-04:00,250.19,252.2698,247.77,249.13,11988089
2020-08-06 00:00:00-04:00,249.04,266.6,248.665,265.28,43995059
2020-08-07 00:00:00-04:00,264.08,278.89,263.43,268.5,71746335
2020-08-10 00:00:00-04:00,268.04,273.86,259.69,263,27964039
2020-08-11 00:00:00-04:00,260.185,265.915,255.13,256.11,26340120
2020-08-12 00:00:00-04:00,258.97,263.8973,258.1125,259.82,19905750
2020-08-14 00:00:00-04:00,262.305,262.65,258.6801,261.24,13368191
2020-08-17 00:00:00-04:00,262.5,264.0973,259.4,261.23,11418578
2020-08-18 00:00:00-04:00,260.95,265.15,259.26,262.33,16917862
2020-08-19 00:00:00-04:00,261.388,267.908,261.35,262.72,21872596
2020-08-20 00:00:00-04:00,261.5,269.63,261.46,269.01,18689661
2020-08-21 00:00:00-04:00,268.69,270.49,266.42,267.01,13502829
2020-08-24 00:00:00-04:00,272.99,274.2,268.7701,271.43,15683925
2020-08-25 00:00:00-04:00,272.41,283.09,270.2601,280.82,39905656
2020-08-26 00:00:00-04:00,284,304.67,284,303.91,65404754
2020-08-27 00:00:00-04:00,300.16,301.23,292.02,293.17,28589907
2020-08-28 00:00:00-04:00,295,297.23,290.98,293.67,15624343
2020-08-31 00:00:00-04:00,293.95,296.88,291.55,293.0901,15101967
